timestamp,ghi_wm2,poa_wm2,tmod_c,tamb_c
2020-01-01 00:00:00,0.0,1.01,13.608,26.528
2020-01-01 00:30:00,0.0,0.999,12.301,24.214
2020-01-01 01:00:00,0.0,1.001,11.561,22.762
2020-01-01 01:30:00,0.0,1.002,10.887,21.537
2020-01-01 02:00:00,0.0,1.006,10.652,21.007
2020-01-01 02:30:00,0.0,1.012,11.191,21.422
2020-01-01 03:00:00,0.0,1.011,10.964,21.024
2020-01-01 03:30:00,0.0,1.009,10.574,20.418
2020-01-01 04:00:00,0.0,1.002,9.711,19.181
2020-01-01 04:30:00,0.0,1.007,10.113,19.92
2020-01-01 05:00:00,0.0,1.001,10.172,19.948
2020-01-01 05:30:00,0.0,1.009,9.673,19.28
2020-01-01 06:00:00,6.571,7.62,9.505,18.968
2020-01-01 06:30:00,27.137,26.576,10.082,19.726
2020-01-01 07:00:00,184.557,293.192,18.932,29.146
2020-01-01 07:30:00,292.557,427.135,25.985,35.644
2020-01-01 08:00:00,413.326,563.065,36.02,42.486
2020-01-01 08:30:00,522.276,680.442,40.982,44.271
2020-01-01 09:00:00,636.227,787.991,44.449,44.992
2020-01-01 09:30:00,732.084,870.423,48.81,45.332
2020-01-01 10:00:00,674.91,755.773,44.324,44.354
2020-01-01 10:30:00,758.466,828.674,44.876,44.933
2020-01-01 11:00:00,879.911,929.869,47.222,44.45
2020-01-01 11:30:00,738.966,773.662,45.733,44.298
2020-01-01 12:00:00,818.659,839.273,51.893,44.369
2020-01-01 12:30:00,709.738,700.073,44.041,43.442
2020-01-01 13:00:00,323.817,303.287,38.217,43.486
2020-01-01 13:30:00,288.287,161.161,27.502,40.561
2020-01-01 14:00:00,89.516,64.208,23.742,38.094
2020-01-01 14:30:00,124.885,70.414,22.631,36.88
2020-01-01 15:00:00,131.727,94.42,14.283,27.292
2020-01-01 15:30:00,340.311,175.483,15.434,28.166
2020-01-01 16:00:00,520.87,264.966,24.143,37.376
2020-01-01 16:30:00,399.049,265.642,27.311,39.743
2020-01-01 17:00:00,135.042,64.843,19.837,34.074
2020-01-01 17:30:00,49.8,51.068,12.015,23.597
2020-01-01 18:00:00,1.718,1.431,11.885,23.158
2020-01-01 18:30:00,2.165,1.031,12.832,24.627
2020-01-01 19:00:00,0.467,1.031,13.243,25.918
2020-01-01 19:30:00,0.0,1.028,13.969,26.912
2020-01-01 20:00:00,0.0,1.027,14.251,27.307
2020-01-01 20:30:00,0.001,1.021,14.223,27.329
2020-01-01 21:00:00,0.0,1.021,14.501,27.699
2020-01-01 21:30:00,0.0,1.019,14.531,27.731
2020-01-01 22:00:00,0.0,1.018,14.615,27.946
2020-01-01 22:30:00,0.056,1.019,14.61,27.896
2020-01-01 23:00:00,0.0,1.018,14.708,27.984
2020-01-01 23:30:00,0.0,1.017,14.75,27.99
2020-01-02 00:00:00,0.0,1.008,12.097,24.039
2020-01-02 00:30:00,0.0,1.004,12.335,24.248
2020-01-02 01:00:00,0.0,1.003,12.569,24.562
2020-01-02 01:30:00,0.0,1.011,12.559,24.71
2020-01-02 02:00:00,0.0,1.009,12.384,24.163
2020-01-02 02:30:00,0.0,1.011,13.822,26.288
2020-01-02 03:00:00,0.035,1.009,13.921,26.524
2020-01-02 03:30:00,0.032,1.007,14.102,26.798
2020-01-02 04:00:00,0.021,1.008,14.381,27.101
2020-01-02 04:30:00,0.025,1.007,14.403,27.362
2020-01-02 05:00:00,0.0,0.996,13.821,26.549
2020-01-02 05:30:00,0.008,1.083,14.093,26.985
2020-01-02 06:00:00,6.957,7.443,14.32,27.279
2020-01-02 06:30:00,25.773,21.593,14.493,27.43
2020-01-02 07:00:00,188.48,296.708,14.691,27.566
2020-01-02 07:30:00,306.701,443.637,17.413,30.28
2020-01-02 08:00:00,419.818,569.727,17.581,30.68
2020-01-02 08:30:00,541.159,699.47,21.611,34.091
2020-01-02 09:00:00,656.761,807.032,24.851,37.348
2020-01-02 09:30:00,760.26,897.176,26.504,38.579
2020-01-02 10:00:00,827.293,945.627,36.595,43.163
2020-01-02 10:30:00,952.125,1051.402,30.292,40.572
2020-01-02 11:00:00,1001.804,1082.858,36.371,43.165
2020-01-02 11:30:00,1035.532,1099.775,25.906,38.382
2020-01-02 12:00:00,752.969,771.75,27.83,39.39
2020-01-02 12:30:00,477.249,472.634,28.241,39.97
2020-01-02 13:00:00,667.88,623.768,24.173,37.401
2020-01-02 13:30:00,361.071,205.582,24.847,37.936
2020-01-02 14:00:00,581.055,213.08,25.51,38.316
2020-01-02 14:30:00,409.734,155.455,28.009,40.047
2020-01-02 15:00:00,307.282,120.808,24.549,37.693
2020-01-02 15:30:00,282.482,107.593,22.142,35.884
2020-01-02 16:00:00,333.034,112.469,21.785,36.412
2020-01-02 16:30:00,274.749,86.94,19.18,34.669
2020-01-02 17:00:00,197.457,98.462,17.536,32.776
2020-01-02 17:30:00,65.979,52.698,17.661,33.064
2020-01-02 18:00:00,0.0,1.603,15.467,30.286
2020-01-02 18:30:00,0.0,1.057,14.265,28.317
2020-01-02 19:00:00,0.0,1.051,14.106,28.211
2020-01-02 19:30:00,0.0,1.048,13.305,26.907
2020-01-02 20:00:00,0.0,1.046,13.264,26.564
2020-01-02 20:30:00,0.0,1.041,12.933,26.136
2020-01-02 21:00:00,0.0,1.041,12.907,26.464
2020-01-02 21:30:00,0.0,1.039,13.066,26.553
2020-01-02 22:00:00,0.0,1.032,12.334,25.45
