,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2020,1,sc2,0.44,1,0.09
7:00,2020,1,sc2,0.43,1,0.58
8:00,2020,1,sc2,0.98,1,0.24
9:00,2020,1,sc2,0.3,1,0.44
10:00,2020,1,sc2,0.39,1,0.08
11:00,2020,1,sc2,0.01,1,0.24
12:00,2020,1,sc2,0.02,1,0.49
13:00,2020,1,sc2,0.48,1,0.46
14:00,2020,1,sc2,0.85,1,0.17
15:00,2020,1,sc2,0.24,1,0.15
16:00,2020,1,sc2,0.82,1,0.04
17:00,2020,1,sc2,0.72,1,0.24
6:00,2020,1,sc5,0.01,1,0.0
7:00,2020,1,sc5,0.0,1,0.0
8:00,2020,1,sc5,0.0,1,0.0
9:00,2020,1,sc5,0.0,1,0.0
10:00,2020,1,sc5,0.0,1,0.0
11:00,2020,1,sc5,0.28,1,0.0
12:00,2020,1,sc5,0.34,1,0.0
13:00,2020,1,sc5,0.0,1,0.0
14:00,2020,1,sc5,0.0,1,0.0
15:00,2020,1,sc5,0.0,1,0.0
16:00,2020,1,sc5,0.0,1,0.0
17:00,2020,1,sc5,0.0,1,0.0
6:00,2020,2,sc3,0.95,1,0.74
7:00,2020,2,sc3,0.17,1,0.78
8:00,2020,2,sc3,0.21,1,0.58
9:00,2020,2,sc3,0.84,1,0.61
10:00,2020,2,sc3,0.81,1,0.59
11:00,2020,2,sc3,0.28,1,0.48
12:00,2020,2,sc3,0.73,1,0.32
13:00,2020,2,sc3,0.13,1,0.67
14:00,2020,2,sc3,0.54,1,0.78
15:00,2020,2,sc3,0.34,1,0.78
16:00,2020,2,sc3,0.6,1,0.78
17:00,2020,2,sc3,0.38,1,0.08
6:00,2020,2,sc5,0.09,1,0.39
7:00,2020,2,sc5,0.0,1,0.0
8:00,2020,2,sc5,0.0,1,0.0
9:00,2020,2,sc5,0.0,1,0.0
10:00,2020,2,sc5,0.0,1,0.0
11:00,2020,2,sc5,0.0,1,0.0
12:00,2020,2,sc5,0.0,1,0.0
13:00,2020,2,sc5,0.0,1,0.0
14:00,2020,2,sc5,0.0,1,0.0
15:00,2020,2,sc5,0.0,1,0.0
16:00,2020,2,sc5,0.0,1,0.0
17:00,2020,2,sc5,0.0,1,0.0
6:00,2020,3,sc2,0.1,1,0.27
7:00,2020,3,sc2,0.06,1,0.31
8:00,2020,3,sc2,0.04,1,0.26
9:00,2020,3,sc2,0.91,1,0.04
10:00,2020,3,sc2,0.32,1,0.01
11:00,2020,3,sc2,0.76,1,0.01
12:00,2020,3,sc2,0.67,1,0.01
13:00,2020,3,sc2,0.79,1,0.32
14:00,2020,3,sc2,0.41,1,0.02
15:00,2020,3,sc2,0.4,1,0.07
16:00,2020,3,sc2,0.0,1,0.58
17:00,2020,3,sc2,0.1,1,0.28
6:00,2020,3,sc5,0.03,1,0.0
7:00,2020,3,sc5,0.0,1,0.0
8:00,2020,3,sc5,0.0,1,0.0
9:00,2020,3,sc5,0.0,1,0.04
10:00,2020,3,sc5,0.01,1,0.0
11:00,2020,3,sc5,0.0,1,0.0
12:00,2020,3,sc5,0.0,1,0.0
13:00,2020,3,sc5,0.0,1,0.0
14:00,2020,3,sc5,0.0,1,0.0
15:00,2020,3,sc5,0.0,1,0.0
16:00,2020,3,sc5,0.05,1,0.0
17:00,2020,3,sc5,0.73,1,0.89
6:00,2020,4,sc3,1.0,0,0.0
7:00,2020,4,sc3,0.87,1,0.55
8:00,2020,4,sc3,0.51,1,0.73
9:00,2020,4,sc3,0.67,1,0.1
10:00,2020,4,sc3,0.89,1,0.1
11:00,2020,4,sc3,0.45,1,0.62
12:00,2020,4,sc3,0.92,1,0.41
13:00,2020,4,sc3,0.95,1,0.66
14:00,2020,4,sc3,0.93,1,0.47
15:00,2020,4,sc3,0.06,1,0.08
16:00,2020,4,sc3,0.53,1,0.08
17:00,2020,4,sc3,0.2,1,0.71
6:00,2020,4,sc5,1.0,0,0.0
7:00,2020,4,sc5,0.08,1,0.0
8:00,2020,4,sc5,0.0,1,0.26
9:00,2020,4,sc5,0.0,1,0.0
10:00,2020,4,sc5,0.09,1,0.0
11:00,2020,4,sc5,0.05,1,0.0
12:00,2020,4,sc5,0.0,1,0.0
13:00,2020,4,sc5,0.0,1,0.0
14:00,2020,4,sc5,0.0,1,0.0
15:00,2020,4,sc5,0.0,1,0.0
16:00,2020,4,sc5,0.02,1,0.0
17:00,2020,4,sc5,0.11,1,0.0
6:00,2020,5,sc3,1.0,0,0.0
7:00,2020,5,sc3,0.07,1,0.16
8:00,2020,5,sc3,0.23,1,0.07
9:00,2020,5,sc3,0.92,1,0.99
10:00,2020,5,sc3,0.0,1,0.0
11:00,2020,5,sc3,0.95,1,0.0
12:00,2020,5,sc3,0.06,1,0.04
13:00,2020,5,sc3,0.08,1,0.0
14:00,2020,5,sc3,0.52,1,0.03
15:00,2020,5,sc3,0.33,1,0.85
16:00,2020,5,sc3,0.53,1,0.14
17:00,2020,5,sc3,1.0,0,0.0
6:00,2020,5,sc5,1.0,0,0.0
7:00,2020,5,sc5,0.52,1,0.6
8:00,2020,5,sc5,0.06,1,0.0
9:00,2020,5,sc5,0.01,1,0.0
10:00,2020,5,sc5,0.01,1,0.0
11:00,2020,5,sc5,0.01,1,0.0
12:00,2020,5,sc5,0.01,1,0.0
13:00,2020,5,sc5,0.0,1,0.02
14:00,2020,5,sc5,0.0,1,0.0
15:00,2020,5,sc5,0.02,1,0.0
16:00,2020,5,sc5,0.07,1,0.0
17:00,2020,5,sc5,1.0,0,0.0
6:00,2020,6,sc1,1.0,0,0.0
7:00,2020,6,sc1,-0.0,1,0.08
8:00,2020,6,sc1,-0.0,1,0.5
9:00,2020,6,sc1,0.3,1,0.68
10:00,2020,6,sc1,0.73,1,0.31
11:00,2020,6,sc1,0.32,1,0.71
12:00,2020,6,sc1,0.81,1,0.57
13:00,2020,6,sc1,0.34,1,0.42
14:00,2020,6,sc1,0.13,1,0.63
15:00,2020,6,sc1,1.0,0,0.0
16:00,2020,6,sc1,-0.0,1,0.07
17:00,2020,6,sc1,1.0,0,0.0
6:00,2020,6,sc5,1.0,0,0.0
7:00,2020,6,sc5,0.0,1,0.0
8:00,2020,6,sc5,0.01,1,0.0
9:00,2020,6,sc5,0.0,1,0.01
10:00,2020,6,sc5,0.0,1,0.0
11:00,2020,6,sc5,0.0,1,0.0
12:00,2020,6,sc5,0.0,1,0.0
13:00,2020,6,sc5,0.0,1,0.0
14:00,2020,6,sc5,0.0,1,0.0
15:00,2020,6,sc5,0.0,1,0.0
16:00,2020,6,sc5,0.0,1,0.03
17:00,2020,6,sc5,1.0,0,0.0
6:00,2020,7,sc5,1.0,0,0.0
7:00,2020,7,sc5,0.0,1,0.0
8:00,2020,7,sc5,0.0,1,0.0
9:00,2020,7,sc5,0.0,1,0.0
10:00,2020,7,sc5,0.0,1,0.02
11:00,2020,7,sc5,0.0,1,0.0
12:00,2020,7,sc5,0.0,1,0.0
13:00,2020,7,sc5,0.0,1,0.0
14:00,2020,7,sc5,0.0,1,0.0
15:00,2020,7,sc5,0.0,1,0.0
16:00,2020,7,sc5,0.02,1,0.17
17:00,2020,7,sc5,1.0,0,0.0
6:00,2020,8,sc3,1.0,0,0.0
7:00,2020,8,sc3,0.26,1,0.92
8:00,2020,8,sc3,0.43,1,0.08
9:00,2020,8,sc3,0.07,1,0.1
10:00,2020,8,sc3,0.5,1,0.01
11:00,2020,8,sc3,0.56,1,0.31
12:00,2020,8,sc3,0.34,1,0.0
13:00,2020,8,sc3,0.73,1,0.02
14:00,2020,8,sc3,0.93,1,0.07
15:00,2020,8,sc3,0.56,1,0.16
16:00,2020,8,sc3,0.03,1,0.23
17:00,2020,8,sc3,0.06,1,0.84
6:00,2020,8,sc5,1.0,0,0.0
7:00,2020,8,sc5,0.04,1,0.0
8:00,2020,8,sc5,0.19,1,0.0
9:00,2020,8,sc5,0.58,1,0.0
10:00,2020,8,sc5,0.17,1,0.0
11:00,2020,8,sc5,0.01,1,0.0
12:00,2020,8,sc5,0.01,1,0.0
13:00,2020,8,sc5,0.0,1,0.0
14:00,2020,8,sc5,0.01,1,0.0
15:00,2020,8,sc5,0.02,1,0.0
16:00,2020,8,sc5,0.04,1,0.0
17:00,2020,8,sc5,0.06,1,0.0
6:00,2020,9,sc2,0.43,1,0.58
7:00,2020,9,sc2,0.51,1,0.36
8:00,2020,9,sc2,0.39,1,0.34
9:00,2020,9,sc2,0.32,1,0.45
10:00,2020,9,sc2,0.41,1,0.38
11:00,2020,9,sc2,0.16,1,0.32
12:00,2020,9,sc2,0.38,1,0.4
13:00,2020,9,sc2,0.88,1,0.78
14:00,2020,9,sc2,0.16,1,0.7
15:00,2020,9,sc2,0.34,1,0.78
16:00,2020,9,sc2,0.99,1,0.77
17:00,2020,9,sc2,0.14,1,0.57
6:00,2020,9,sc3,0.64,1,0.29
7:00,2020,9,sc3,0.84,1,0.39
8:00,2020,9,sc3,0.52,1,0.0
9:00,2020,9,sc3,0.62,1,0.11
10:00,2020,9,sc3,0.22,1,0.28
11:00,2020,9,sc3,0.59,1,0.01
12:00,2020,9,sc3,0.22,1,0.09
13:00,2020,9,sc3,0.52,1,0.01
14:00,2020,9,sc3,0.63,1,0.75
15:00,2020,9,sc3,0.0,1,0.25
16:00,2020,9,sc3,0.47,1,0.36
17:00,2020,9,sc3,0.15,1,0.19
6:00,2020,9,sc5,0.01,1,0.0
