year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2020,1,sc2,0.47,1,0.27
2020,1,sc5,0.05,1,0.0
2020,2,sc3,0.5,1,0.6
2020,2,sc5,0.01,1,0.03
2020,3,sc2,0.38,1,0.18
2020,3,sc5,0.07,1,0.08
2020,4,sc3,0.66,0,0.38
2020,4,sc5,0.11,0,0.02
2020,5,sc3,0.47,0,0.19
2020,5,sc5,0.23,0,0.05
2020,6,sc1,0.47,0,0.33
2020,6,sc5,0.17,0,0.0
2020,7,sc5,0.17,0,0.02
2020,8,sc3,0.46,0,0.23
2020,8,sc5,0.18,0,0.0
2020,9,sc2,0.43,1,0.54
2020,9,sc3,0.45,1,0.23
2020,9,sc5,0.06,1,0.06
2020,10,sc2,0.24,1,0.13
2020,10,sc3,0.56,1,0.19
2020,10,sc5,0.11,1,0.0
2020,11,sc5,0.0,1,0.0
2020,12,sc2,0.45,1,0.55
2020,12,sc3,0.48,1,0.29
2020,12,sc5,0.0,1,0.0
