,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2020,1,sc2,0.0,1,0.0
6:05,2020,1,sc2,0.0,1,0.0
6:10,2020,1,sc2,0.0,1,0.22
6:15,2020,1,sc2,0.0,1,0.76
6:20,2020,1,sc2,0.02,1,0.96
6:25,2020,1,sc2,0.48,1,0.96
6:30,2020,1,sc2,0.55,1,1.0
6:35,2020,1,sc2,0.89,1,0.94
6:40,2020,1,sc2,0.78,1,0.0
6:45,2020,1,sc2,0.27,1,0.0
6:50,2020,1,sc2,0.75,1,0.0
6:55,2020,1,sc2,0.07,1,0.0
7:00,2020,1,sc2,0.01,1,0.01
7:05,2020,1,sc2,0.0,1,0.0
7:10,2020,1,sc2,0.0,1,0.01
7:15,2020,1,sc2,0.01,1,0.97
7:20,2020,1,sc2,0.02,1,0.88
7:25,2020,1,sc2,0.13,1,0.96
7:30,2020,1,sc2,0.13,1,0.0
7:35,2020,1,sc2,0.18,1,0.0
7:40,2020,1,sc2,0.11,1,0.0
7:45,2020,1,sc2,0.03,1,0.0
7:50,2020,1,sc2,0.06,1,0.0
7:55,2020,1,sc2,0.33,1,0.89
8:00,2020,1,sc2,0.06,1,0.51
8:05,2020,1,sc2,0.03,1,0.0
8:10,2020,1,sc2,0.0,1,0.0
8:15,2020,1,sc2,0.01,1,0.0
8:20,2020,1,sc2,0.04,1,0.0
8:25,2020,1,sc2,0.07,1,0.0
8:30,2020,1,sc2,0.07,1,0.0
8:35,2020,1,sc2,0.07,1,0.0
8:40,2020,1,sc2,0.06,1,0.0
8:45,2020,1,sc2,0.02,1,0.0
8:50,2020,1,sc2,0.0,1,0.0
8:55,2020,1,sc2,0.0,1,0.0
9:00,2020,1,sc2,0.02,1,0.0
9:05,2020,1,sc2,0.03,1,0.0
9:10,2020,1,sc2,0.09,1,0.81
9:15,2020,1,sc2,0.01,1,0.0
9:20,2020,1,sc2,0.25,1,0.01
9:25,2020,1,sc2,0.01,1,0.0
9:30,2020,1,sc2,0.02,1,0.0
9:35,2020,1,sc2,0.03,1,0.0
9:40,2020,1,sc2,0.05,1,0.0
9:45,2020,1,sc2,0.03,1,0.0
9:50,2020,1,sc2,0.04,1,0.0
9:55,2020,1,sc2,0.02,1,0.0
10:00,2020,1,sc2,0.0,1,0.0
10:05,2020,1,sc2,0.01,1,0.0
10:10,2020,1,sc2,0.02,1,0.0
10:15,2020,1,sc2,0.04,1,0.0
10:20,2020,1,sc2,0.17,1,0.0
10:25,2020,1,sc2,0.0,1,0.0
10:30,2020,1,sc2,0.0,1,0.0
10:35,2020,1,sc2,0.01,1,0.0
10:40,2020,1,sc2,0.05,1,0.0
10:45,2020,1,sc2,0.01,1,0.0
10:50,2020,1,sc2,0.06,1,0.0
10:55,2020,1,sc2,0.04,1,0.0
11:00,2020,1,sc2,0.03,1,0.0
11:05,2020,1,sc2,0.1,1,0.0
11:10,2020,1,sc2,0.03,1,0.0
11:15,2020,1,sc2,0.0,1,0.0
11:20,2020,1,sc2,0.02,1,0.0
11:25,2020,1,sc2,0.76,1,0.0
11:30,2020,1,sc2,0.7,1,0.0
11:35,2020,1,sc2,0.1,1,0.6
11:40,2020,1,sc2,0.34,1,0.98
11:45,2020,1,sc2,0.29,1,0.0
11:50,2020,1,sc2,0.27,1,0.0
11:55,2020,1,sc2,0.12,1,0.0
12:00,2020,1,sc2,0.65,1,0.0
12:05,2020,1,sc2,0.26,1,0.91
12:10,2020,1,sc2,0.22,1,0.0
12:15,2020,1,sc2,0.18,1,0.69
12:20,2020,1,sc2,0.63,1,0.0
12:25,2020,1,sc2,0.9,1,0.0
12:30,2020,1,sc2,0.12,1,0.0
12:35,2020,1,sc2,0.18,1,0.0
12:40,2020,1,sc2,0.22,1,0.0
12:45,2020,1,sc2,0.69,1,0.0
12:50,2020,1,sc2,0.56,1,0.0
12:55,2020,1,sc2,0.1,1,0.0
13:00,2020,1,sc2,0.02,1,0.0
13:05,2020,1,sc2,0.48,1,0.0
13:10,2020,1,sc2,0.12,1,0.0
13:15,2020,1,sc2,0.01,1,0.0
13:20,2020,1,sc2,0.09,1,0.0
13:25,2020,1,sc2,0.02,1,0.81
13:30,2020,1,sc2,0.32,1,0.0
13:35,2020,1,sc2,0.15,1,0.0
13:40,2020,1,sc2,0.14,1,0.0
13:45,2020,1,sc2,0.06,1,0.0
13:50,2020,1,sc2,0.09,1,0.0
13:55,2020,1,sc2,0.13,1,0.0
14:00,2020,1,sc2,0.14,1,0.0
14:05,2020,1,sc2,0.14,1,0.0
14:10,2020,1,sc2,0.07,1,0.0
14:15,2020,1,sc2,0.5,1,0.0
14:20,2020,1,sc2,0.35,1,0.0
14:25,2020,1,sc2,0.55,1,0.77
14:30,2020,1,sc2,0.11,1,0.57
14:35,2020,1,sc2,0.19,1,0.46
14:40,2020,1,sc2,0.41,1,0.0
14:45,2020,1,sc2,0.04,1,0.0
14:50,2020,1,sc2,0.29,1,0.84
14:55,2020,1,sc2,0.12,1,0.54
15:00,2020,1,sc2,0.32,1,0.77
15:05,2020,1,sc2,0.13,1,0.73
15:10,2020,1,sc2,0.3,1,0.88
15:15,2020,1,sc2,0.34,1,0.82
15:20,2020,1,sc2,0.36,1,0.0
15:25,2020,1,sc2,0.19,1,0.7
15:30,2020,1,sc2,0.3,1,0.0
15:35,2020,1,sc2,0.44,1,0.91
15:40,2020,1,sc2,0.66,1,0.91
15:45,2020,1,sc2,0.36,1,0.67
15:50,2020,1,sc2,0.41,1,0.68
15:55,2020,1,sc2,0.13,1,0.0
16:00,2020,1,sc2,0.25,1,0.97
16:05,2020,1,sc2,0.06,1,0.0
16:10,2020,1,sc2,0.03,1,0.0
16:15,2020,1,sc2,0.05,1,0.92
16:20,2020,1,sc2,0.26,1,0.89
16:25,2020,1,sc2,0.08,1,0.0
16:30,2020,1,sc2,0.48,1,0.0
16:35,2020,1,sc2,0.94,1,0.0
16:40,2020,1,sc2,0.93,1,0.0
16:45,2020,1,sc2,0.63,1,0.0
16:50,2020,1,sc2,0.23,1,0.02
16:55,2020,1,sc2,0.08,1,0.82
17:00,2020,1,sc2,0.04,1,0.03
17:05,2020,1,sc2,0.13,1,0.87
17:10,2020,1,sc2,0.72,1,0.85
17:15,2020,1,sc2,0.21,1,0.03
17:20,2020,1,sc2,0.0,1,0.52
17:25,2020,1,sc2,0.0,1,0.0
17:30,2020,1,sc2,0.0,1,0.76
17:35,2020,1,sc2,0.02,1,0.8
