year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2020,1,sc2,0.19,1,0.23
2020,1,sc5,0.2,1,0.13
2020,2,sc1,0.4,0,0.44
2020,2,sc2,0.22,1,0.19
2020,2,sc5,0.22,0,0.13
2020,3,sc1,0.36,1,0.25
2020,3,sc2,0.14,1,0.27
2020,3,sc3,0.39,1,0.11
2020,3,sc5,0.47,1,0.39
2020,4,sc2,0.13,1,0.4
2020,4,sc3,0.46,1,0.1
2020,5,sc2,0.15,1,0.4
2020,6,sc2,0.26,1,0.28
2020,6,sc3,0.49,1,0.09
2020,7,sc2,0.18,1,0.24
2020,7,sc3,0.29,1,0.11
2020,8,sc2,0.18,1,0.3
2020,8,sc3,0.42,1,0.17
2020,9,sc2,0.21,1,0.27
2020,9,sc3,0.42,1,0.12
2020,10,sc2,0.16,1,0.27
2020,10,sc3,0.47,0,0.19
2020,11,sc1,0.25,0,0.19
2020,11,sc2,0.14,0,0.22
2020,11,sc3,0.47,0,0.22
2020,12,sc2,0.13,1,0.24
2020,12,sc3,0.39,1,0.18
2020,12,sc5,0.32,1,0.18
2021,1,sc2,0.23,1,0.14
2021,1,sc3,0.37,1,0.12
2021,1,sc4,0.41,1,0.3
2021,1,sc5,0.34,0,0.09
2021,2,sc2,0.18,1,0.21
2021,2,sc3,0.44,0,0.43
2021,3,sc1,0.39,1,0.23
2021,3,sc2,0.13,1,0.31
2021,4,sc2,0.14,1,0.35
2021,4,sc3,0.44,1,0.16
2021,5,sc1,0.47,1,0.46
2021,5,sc2,0.22,1,0.2
2021,6,sc2,0.18,1,0.21
2021,6,sc3,0.38,1,0.07
2021,7,sc2,0.15,1,0.3
2021,7,sc3,0.41,1,0.09
2021,8,sc1,1.0,0,0.0
2021,9,sc1,1.0,0,0.0
2021,10,sc1,1.0,0,0.0
2021,11,sc1,1.0,0,0.0
2021,11,sc2,0.3,0,0.19
2021,12,sc2,0.12,1,0.34
2021,12,sc3,0.39,1,0.14
2021,12,sc5,0.5,1,0.37
2022,1,sc2,0.26,1,0.27
2022,1,sc3,0.34,1,0.11
2022,1,sc5,0.43,1,0.16
2022,2,sc1,0.46,0,0.47
2022,2,sc2,0.18,0,0.19
2022,2,sc3,0.38,0,0.1
2022,3,sc1,0.42,1,0.32
2022,3,sc2,0.13,1,0.27
2022,4,sc1,0.42,1,0.45
2022,4,sc2,0.16,1,0.29
2022,4,sc3,0.47,1,0.43
2022,5,sc1,0.49,1,0.45
2022,5,sc2,0.22,1,0.3
2022,5,sc3,0.52,1,0.11
2022,6,sc1,0.5,1,0.37
2022,6,sc2,0.18,1,0.2
2022,6,sc3,0.48,1,0.27
2022,7,sc2,0.23,1,0.2
2022,7,sc3,0.43,1,0.08
2022,8,sc2,0.18,1,0.28
2022,8,sc3,0.46,1,0.18
2022,9,sc1,0.47,1,0.28
2022,9,sc2,0.2,1,0.19
2022,9,sc3,0.5,1,0.25
2022,10,sc1,0.37,0,0.21
2022,10,sc2,0.1,1,0.18
2022,11,sc1,0.31,0,0.18
2022,11,sc2,0.11,0,0.24
2022,12,sc2,0.17,1,0.22
2022,12,sc3,0.36,1,0.15
2022,12,sc5,0.27,1,0.14
2023,1,sc1,0.54,0,0.57
2023,1,sc2,0.14,1,0.31
2023,1,sc3,0.43,0,0.29
2023,1,sc5,0.46,0,0.32
2023,2,sc2,0.33,0,0.11
2023,2,sc3,0.49,0,0.42
2023,2,sc5,0.38,0,0.29
