year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2021,1,sc2,0.43,0,0.25
2021,1,sc5,0.47,0,0.14
2021,2,sc2,0.43,0,0.24
2021,2,sc3,0.47,0,0.23
2021,2,sc5,0.54,0,0.05
2021,3,sc2,0.3,0,0.19
2021,3,sc4,0.5,0,0.22
2021,3,sc5,0.31,0,0.06
2021,4,sc3,0.52,1,0.26
2021,4,sc5,0.01,1,0.05
2021,5,sc2,0.44,1,0.29
2021,5,sc3,0.43,1,0.13
2021,5,sc4,0.48,1,0.44
2021,5,sc5,0.02,1,0.01
2021,6,sc2,0.5,1,0.5
2021,6,sc5,0.0,1,0.0
2021,7,sc5,0.0,1,0.01
2021,8,sc2,0.45,1,0.33
2021,8,sc3,0.46,1,0.46
2021,8,sc5,0.02,1,0.02
2021,9,sc3,0.49,0,0.18
2021,9,sc5,0.09,1,0.09
2021,10,sc2,0.36,0,0.2
2021,10,sc3,0.46,0,0.17
2021,10,sc5,0.3,0,0.1
2021,11,sc2,0.49,0,0.11
2021,11,sc3,0.58,0,0.16
2021,11,sc5,0.58,0,0.16
2021,12,sc2,0.62,0,0.23
2021,12,sc3,0.48,0,0.21
2021,12,sc5,0.37,0,0.09
