,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2021,1,sc2,1.0,0,0.0
7:00,2021,1,sc2,1.0,0,0.0
8:00,2021,1,sc2,0.21,1,0.03
9:00,2021,1,sc2,0.0,1,0.93
10:00,2021,1,sc2,0.06,1,0.03
11:00,2021,1,sc2,0.68,1,0.99
12:00,2021,1,sc2,0.37,1,0.0
13:00,2021,1,sc2,0.51,1,0.04
14:00,2021,1,sc2,0.67,1,0.0
15:00,2021,1,sc2,0.28,1,0.81
16:00,2021,1,sc2,0.7,1,0.04
17:00,2021,1,sc2,0.0,1,0.0
6:00,2021,1,sc3,1.0,0,0.0
7:00,2021,1,sc3,1.0,0,0.0
8:00,2021,1,sc3,0.12,1,0.51
9:00,2021,1,sc3,0.27,1,0.69
10:00,2021,1,sc3,0.12,1,0.55
11:00,2021,1,sc3,0.92,1,0.61
12:00,2021,1,sc3,0.52,1,0.08
13:00,2021,1,sc3,0.08,1,0.52
14:00,2021,1,sc3,0.15,1,0.49
15:00,2021,1,sc3,0.08,1,0.78
16:00,2021,1,sc3,0.3,1,0.48
17:00,2021,1,sc3,0.54,1,0.1
6:00,2021,1,sc5,1.0,0,0.0
7:00,2021,1,sc5,1.0,0,0.0
8:00,2021,1,sc5,0.0,1,0.85
9:00,2021,1,sc5,0.87,1,0.0
10:00,2021,1,sc5,0.52,1,0.94
11:00,2021,1,sc5,0.46,1,0.69
12:00,2021,1,sc5,0.16,1,0.0
13:00,2021,1,sc5,0.25,1,0.0
14:00,2021,1,sc5,0.38,1,0.0
15:00,2021,1,sc5,0.1,1,0.48
16:00,2021,1,sc5,0.36,1,0.94
17:00,2021,1,sc5,1.0,0,0.0
6:00,2021,2,sc1,1.0,0,0.0
7:00,2021,2,sc1,1.0,0,0.0
8:00,2021,2,sc1,0.29,1,0.41
9:00,2021,2,sc1,0.54,1,0.88
10:00,2021,2,sc1,0.5,1,0.43
11:00,2021,2,sc1,0.25,1,0.65
12:00,2021,2,sc1,0.38,1,0.77
13:00,2021,2,sc1,0.12,1,0.31
14:00,2021,2,sc1,0.83,1,0.09
15:00,2021,2,sc1,0.9,1,0.78
16:00,2021,2,sc1,0.54,1,0.63
17:00,2021,2,sc1,0.54,1,0.59
6:00,2021,2,sc2,1.0,0,0.0
7:00,2021,2,sc2,1.0,0,0.0
8:00,2021,2,sc2,0.04,1,0.0
9:00,2021,2,sc2,0.03,1,0.23
10:00,2021,2,sc2,0.54,1,0.19
11:00,2021,2,sc2,0.79,1,0.06
12:00,2021,2,sc2,0.73,1,0.04
13:00,2021,2,sc2,0.86,1,0.11
14:00,2021,2,sc2,0.23,1,0.21
15:00,2021,2,sc2,0.0,1,0.17
16:00,2021,2,sc2,0.29,1,0.71
17:00,2021,2,sc2,0.58,1,0.11
6:00,2021,2,sc3,1.0,0,0.0
7:00,2021,2,sc3,1.0,0,0.0
8:00,2021,2,sc3,0.27,1,0.38
9:00,2021,2,sc3,0.07,1,0.51
10:00,2021,2,sc3,0.27,1,0.04
11:00,2021,2,sc3,0.78,1,0.49
12:00,2021,2,sc3,0.33,1,0.54
13:00,2021,2,sc3,0.29,1,0.2
14:00,2021,2,sc3,0.84,1,0.49
15:00,2021,2,sc3,0.79,1,0.62
16:00,2021,2,sc3,0.44,1,0.3
17:00,2021,2,sc3,0.99,1,0.19
6:00,2021,2,sc4,1.0,0,0.0
7:00,2021,2,sc4,1.0,0,0.0
8:00,2021,2,sc4,0.14,1,0.18
9:00,2021,2,sc4,0.85,1,0.08
10:00,2021,2,sc4,0.78,1,0.0
11:00,2021,2,sc4,0.37,1,0.01
12:00,2021,2,sc4,0.11,1,0.18
13:00,2021,2,sc4,0.05,1,0.33
14:00,2021,2,sc4,0.14,1,0.85
15:00,2021,2,sc4,0.35,1,0.14
16:00,2021,2,sc4,0.44,1,0.12
17:00,2021,2,sc4,0.93,1,0.02
6:00,2021,2,sc5,1.0,0,0.0
7:00,2021,2,sc5,0.0,1,0.0
8:00,2021,2,sc5,0.03,1,0.72
9:00,2021,2,sc5,0.69,1,0.0
10:00,2021,2,sc5,0.43,1,0.0
11:00,2021,2,sc5,0.77,1,0.0
12:00,2021,2,sc5,0.69,1,0.0
13:00,2021,2,sc5,0.0,1,0.0
14:00,2021,2,sc5,0.46,1,0.0
15:00,2021,2,sc5,0.43,1,0.0
16:00,2021,2,sc5,0.03,1,0.54
17:00,2021,2,sc5,0.85,1,0.0
6:00,2021,3,sc1,1.0,0,0.0
7:00,2021,3,sc1,-0.0,1,0.09
8:00,2021,3,sc1,0.22,1,0.63
9:00,2021,3,sc1,0.81,1,0.71
10:00,2021,3,sc1,0.51,1,0.61
11:00,2021,3,sc1,0.86,1,0.56
12:00,2021,3,sc1,0.33,1,0.54
13:00,2021,3,sc1,0.06,1,0.11
14:00,2021,3,sc1,0.23,1,0.67
15:00,2021,3,sc1,0.05,1,0.54
16:00,2021,3,sc1,0.01,1,0.68
17:00,2021,3,sc1,0.6,1,0.73
6:00,2021,3,sc2,1.0,0,0.0
7:00,2021,3,sc2,0.08,1,0.02
8:00,2021,3,sc2,0.19,1,0.04
9:00,2021,3,sc2,0.29,1,0.04
10:00,2021,3,sc2,0.22,1,0.17
11:00,2021,3,sc2,0.95,1,0.01
12:00,2021,3,sc2,0.79,1,0.38
13:00,2021,3,sc2,0.27,1,0.01
14:00,2021,3,sc2,0.09,1,0.36
15:00,2021,3,sc2,0.01,1,0.41
16:00,2021,3,sc2,0.46,1,0.0
17:00,2021,3,sc2,0.39,1,0.07
6:00,2021,3,sc3,1.0,0,0.0
7:00,2021,3,sc3,0.98,1,1.0
8:00,2021,3,sc3,0.34,1,0.23
9:00,2021,3,sc3,0.18,1,0.05
10:00,2021,3,sc3,0.7,1,0.27
11:00,2021,3,sc3,0.97,1,0.01
12:00,2021,3,sc3,0.22,1,0.03
13:00,2021,3,sc3,1.0,1,0.0
14:00,2021,3,sc3,0.48,1,0.55
15:00,2021,3,sc3,0.49,1,0.03
16:00,2021,3,sc3,0.26,1,0.51
17:00,2021,3,sc3,0.07,1,0.23
6:00,2021,3,sc5,1.0,0,0.0
7:00,2021,3,sc5,0.01,1,0.0
8:00,2021,3,sc5,0.88,1,0.0
9:00,2021,3,sc5,0.33,1,0.0
10:00,2021,3,sc5,0.16,1,0.0
11:00,2021,3,sc5,0.0,1,0.3
12:00,2021,3,sc5,0.01,1,0.0
