,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2019,1,sc5,1.0,0,0.0
6:30,2019,1,sc5,1.0,0,0.0
7:00,2019,1,sc5,1.0,0,0.0
7:30,2019,1,sc5,1.0,0,0.0
8:00,2019,1,sc5,0.0,1,0.04
8:30,2019,1,sc5,0.0,1,0.0
9:00,2019,1,sc5,0.0,1,0.0
9:30,2019,1,sc5,0.0,1,0.0
10:00,2019,1,sc5,0.0,1,0.02
10:30,2019,1,sc5,0.0,1,0.0
11:00,2019,1,sc5,0.0,1,0.0
11:30,2019,1,sc5,0.0,1,0.0
12:00,2019,1,sc5,0.0,1,0.0
12:30,2019,1,sc5,0.0,1,0.0
13:00,2019,1,sc5,0.0,1,0.0
13:30,2019,1,sc5,0.0,1,0.0
14:00,2019,1,sc5,0.0,1,0.0
14:30,2019,1,sc5,0.0,1,0.01
15:00,2019,1,sc5,0.0,1,0.0
15:30,2019,1,sc5,0.0,1,0.0
16:00,2019,1,sc5,0.02,1,0.23
16:30,2019,1,sc5,0.68,1,0.95
17:00,2019,1,sc5,0.08,1,0.96
17:30,2019,1,sc5,0.0,1,0.0
6:00,2019,2,sc5,1.0,0,0.0
6:30,2019,2,sc5,1.0,0,0.0
7:00,2019,2,sc5,1.0,0,0.0
7:30,2019,2,sc5,0.01,1,0.0
8:00,2019,2,sc5,0.32,1,0.0
8:30,2019,2,sc5,0.0,1,0.0
9:00,2019,2,sc5,0.0,1,0.0
9:30,2019,2,sc5,0.04,1,0.0
10:00,2019,2,sc5,0.0,1,0.0
10:30,2019,2,sc5,0.01,1,0.03
11:00,2019,2,sc5,0.02,1,0.0
11:30,2019,2,sc5,0.03,1,0.0
12:00,2019,2,sc5,0.01,1,0.0
12:30,2019,2,sc5,0.02,1,0.0
13:00,2019,2,sc5,0.01,1,0.0
13:30,2019,2,sc5,0.0,1,0.0
14:00,2019,2,sc5,0.0,1,0.0
14:30,2019,2,sc5,0.15,1,0.0
15:00,2019,2,sc5,0.02,1,0.0
15:30,2019,2,sc5,0.02,1,0.0
16:00,2019,2,sc5,0.06,1,0.0
16:30,2019,2,sc5,0.64,1,0.0
17:00,2019,2,sc5,0.89,1,0.0
17:30,2019,2,sc5,0.36,1,0.96
6:00,2019,3,sc5,1.0,0,0.0
6:30,2019,3,sc5,0.0,1,0.0
7:00,2019,3,sc5,0.27,1,0.0
7:30,2019,3,sc5,0.08,1,0.0
8:00,2019,3,sc5,0.01,1,0.0
8:30,2019,3,sc5,0.0,1,0.0
9:00,2019,3,sc5,0.0,1,0.0
9:30,2019,3,sc5,0.0,1,0.0
10:00,2019,3,sc5,0.0,1,0.0
10:30,2019,3,sc5,0.0,1,0.0
11:00,2019,3,sc5,0.0,1,0.0
11:30,2019,3,sc5,0.0,1,0.0
12:00,2019,3,sc5,0.0,1,0.0
12:30,2019,3,sc5,0.0,1,0.0
13:00,2019,3,sc5,0.0,1,0.0
13:30,2019,3,sc5,0.0,1,0.0
14:00,2019,3,sc5,0.0,1,0.0
14:30,2019,3,sc5,0.0,1,0.0
15:00,2019,3,sc5,0.0,1,0.0
15:30,2019,3,sc5,0.0,1,0.0
16:00,2019,3,sc5,0.0,1,0.0
16:30,2019,3,sc5,0.0,1,0.5
17:00,2019,3,sc5,0.0,1,0.0
17:30,2019,3,sc5,0.37,1,0.0
6:00,2019,4,sc1,-0.0,1,0.08
6:30,2019,4,sc1,1.0,1,0.54
7:00,2019,4,sc1,-0.0,1,0.34
7:30,2019,4,sc1,0.88,1,0.34
8:00,2019,4,sc1,0.48,1,0.63
8:30,2019,4,sc1,0.84,1,0.7
9:00,2019,4,sc1,0.71,1,0.53
9:30,2019,4,sc1,0.82,1,0.76
10:00,2019,4,sc1,0.03,1,0.59
10:30,2019,4,sc1,0.21,1,0.48
11:00,2019,4,sc1,0.35,1,0.76
11:30,2019,4,sc1,0.77,1,0.08
12:00,2019,4,sc1,0.66,1,0.08
12:30,2019,4,sc1,0.09,1,0.78
13:00,2019,4,sc1,0.06,1,0.14
13:30,2019,4,sc1,0.39,1,0.39
14:00,2019,4,sc1,0.02,1,0.12
14:30,2019,4,sc1,0.18,1,0.61
15:00,2019,4,sc1,0.01,1,0.65
15:30,2019,4,sc1,0.88,1,0.78
16:00,2019,4,sc1,0.25,1,0.09
16:30,2019,4,sc1,0.06,1,0.17
17:00,2019,4,sc1,0.23,1,0.45
17:30,2019,4,sc1,0.37,1,0.47
6:00,2019,4,sc2,0.02,1,0.19
6:30,2019,4,sc2,0.28,1,0.56
7:00,2019,4,sc2,0.0,1,0.69
7:30,2019,4,sc2,0.15,1,0.28
8:00,2019,4,sc2,0.7,1,0.21
8:30,2019,4,sc2,0.12,1,0.38
9:00,2019,4,sc2,0.07,1,0.26
9:30,2019,4,sc2,0.25,1,0.48
10:00,2019,4,sc2,0.59,1,0.03
10:30,2019,4,sc2,0.7,1,0.33
11:00,2019,4,sc2,0.85,1,0.12
11:30,2019,4,sc2,0.24,1,0.04
12:00,2019,4,sc2,0.25,1,0.24
12:30,2019,4,sc2,0.22,1,0.33
13:00,2019,4,sc2,0.48,1,0.54
13:30,2019,4,sc2,0.73,1,0.41
14:00,2019,4,sc2,0.16,1,0.38
14:30,2019,4,sc2,0.04,1,0.57
15:00,2019,4,sc2,0.28,1,0.82
15:30,2019,4,sc2,0.25,1,0.73
16:00,2019,4,sc2,0.04,1,0.23
16:30,2019,4,sc2,0.09,1,0.66
17:00,2019,4,sc2,0.48,1,0.3
17:30,2019,4,sc2,0.14,1,0.86
6:00,2019,4,sc3,0.36,1,0.58
6:30,2019,4,sc3,0.64,1,0.26
7:00,2019,4,sc3,0.04,1,0.78
7:30,2019,4,sc3,0.08,1,0.12
8:00,2019,4,sc3,0.05,1,0.58
8:30,2019,4,sc3,0.36,1,0.75
9:00,2019,4,sc3,0.86,1,0.18
9:30,2019,4,sc3,0.03,1,0.78
10:00,2019,4,sc3,0.4,1,0.11
10:30,2019,4,sc3,0.17,1,0.44
11:00,2019,4,sc3,0.4,1,0.25
11:30,2019,4,sc3,0.91,1,0.69
12:00,2019,4,sc3,0.47,1,0.09
12:30,2019,4,sc3,0.58,1,0.73
13:00,2019,4,sc3,0.91,1,0.08
13:30,2019,4,sc3,0.3,1,0.76
14:00,2019,4,sc3,0.79,1,0.56
14:30,2019,4,sc3,0.6,1,0.2
15:00,2019,4,sc3,0.77,1,0.3
15:30,2019,4,sc3,0.65,1,0.08
16:00,2019,4,sc3,0.77,1,0.08
16:30,2019,4,sc3,0.15,1,0.76
17:00,2019,4,sc3,0.63,1,0.32
17:30,2019,4,sc3,0.1,1,0.51
6:00,2019,4,sc5,0.0,1,0.0
6:30,2019,4,sc5,0.13,1,0.0
7:00,2019,4,sc5,0.2,1,0.0
7:30,2019,4,sc5,0.01,1,0.0
8:00,2019,4,sc5,0.0,1,0.0
8:30,2019,4,sc5,0.01,1,0.0
9:00,2019,4,sc5,0.03,1,0.0
9:30,2019,4,sc5,0.05,1,0.0
10:00,2019,4,sc5,0.0,1,0.0
10:30,2019,4,sc5,0.0,1,0.0
11:00,2019,4,sc5,0.0,1,0.0
11:30,2019,4,sc5,0.0,1,0.0
12:00,2019,4,sc5,0.0,1,0.0
12:30,2019,4,sc5,0.0,1,0.0
13:00,2019,4,sc5,0.0,1,0.0
13:30,2019,4,sc5,0.0,1,0.0
14:00,2019,4,sc5,0.0,1,0.0
14:30,2019,4,sc5,0.0,1,0.0
15:00,2019,4,sc5,0.0,1,0.0
15:30,2019,4,sc5,0.0,1,0.0
16:00,2019,4,sc5,0.0,1,0.0
