year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2019,1,sc5,0.23,0,0.08
2019,2,sc5,0.19,0,0.08
2019,3,sc5,0.04,1,0.04
2019,4,sc1,0.54,1,0.51
2019,4,sc3,0.42,1,0.34
2019,4,sc5,0.03,1,0.0
2019,5,sc5,0.0,1,0.0
2019,6,sc5,0.0,1,0.0
2019,7,sc3,0.4,1,0.54
2019,7,sc5,0.0,1,0.0
2019,8,sc5,0.06,1,0.01
2019,9,sc2,0.55,1,0.53
2019,9,sc5,0.05,1,0.07
2019,10,sc3,0.54,0,0.43
2019,10,sc5,0.1,1,0.03
2019,11,sc1,0.33,0,0.32
2019,11,sc3,0.55,0,0.22
2019,11,sc5,0.26,0,0.08
2019,12,sc1,0.4,0,0.27
2019,12,sc3,0.33,0,0.23
2019,12,sc5,0.17,0,0.04
