year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2020,1,sc2,0.49,1,0.31
2020,1,sc5,0.0,1,0.01
2020,2,sc3,0.48,1,0.24
2020,2,sc5,0.01,1,0.01
2020,3,sc3,0.34,1,0.19
2020,3,sc5,0.09,1,0.05
2020,4,sc5,0.1,0,0.03
2020,5,sc3,0.48,0,0.15
2020,5,sc5,0.23,0,0.05
2020,6,sc5,0.2,0,0.02
2020,7,sc5,0.18,0,0.03
2020,8,sc2,0.56,0,0.41
2020,8,sc3,0.45,0,0.25
2020,8,sc5,0.15,0,0.01
2020,9,sc2,0.49,0,0.46
2020,9,sc3,0.61,0,0.31
2020,9,sc5,0.12,0,0.04
2020,10,sc2,0.25,1,0.2
2020,10,sc3,0.43,1,0.12
2020,10,sc5,0.15,1,0.03
2020,11,sc5,0.01,1,0.03
2020,12,sc5,0.0,1,0.01
