,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2020,1,sc2,0.67,1,0.55
6:30,2020,1,sc2,0.23,1,0.31
7:00,2020,1,sc2,0.94,1,0.08
7:30,2020,1,sc2,1.0,1,0.09
8:00,2020,1,sc2,0.82,1,0.08
8:30,2020,1,sc2,0.26,1,0.31
9:00,2020,1,sc2,0.03,1,0.12
9:30,2020,1,sc2,0.4,1,0.08
10:00,2020,1,sc2,0.63,1,0.58
10:30,2020,1,sc2,0.57,1,0.59
11:00,2020,1,sc2,1.0,1,0.59
11:30,2020,1,sc2,0.66,1,0.29
12:00,2020,1,sc2,0.72,1,0.78
12:30,2020,1,sc2,0.97,1,0.76
13:00,2020,1,sc2,0.86,1,0.99
13:30,2020,1,sc2,0.87,1,0.74
14:00,2020,1,sc2,0.73,1,0.77
14:30,2020,1,sc2,0.62,1,0.78
15:00,2020,1,sc2,0.65,1,0.27
15:30,2020,1,sc2,0.89,1,0.37
16:00,2020,1,sc2,0.66,1,0.23
16:30,2020,1,sc2,0.31,1,0.58
17:00,2020,1,sc2,0.58,1,0.78
17:30,2020,1,sc2,-0.0,1,0.08
6:00,2020,1,sc3,0.64,1,0.66
6:30,2020,1,sc3,0.29,1,0.41
7:00,2020,1,sc3,0.07,1,0.79
7:30,2020,1,sc3,0.76,1,0.71
8:00,2020,1,sc3,0.43,1,0.61
8:30,2020,1,sc3,0.87,1,0.68
9:00,2020,1,sc3,0.19,1,0.78
9:30,2020,1,sc3,0.98,1,0.08
10:00,2020,1,sc3,0.61,1,0.08
10:30,2020,1,sc3,0.4,1,0.78
11:00,2020,1,sc3,0.1,1,0.67
11:30,2020,1,sc3,0.01,1,0.64
12:00,2020,1,sc3,0.08,1,0.26
12:30,2020,1,sc3,0.88,1,0.14
13:00,2020,1,sc3,0.76,1,0.24
13:30,2020,1,sc3,0.2,1,0.13
14:00,2020,1,sc3,0.28,1,0.15
14:30,2020,1,sc3,0.78,1,0.15
15:00,2020,1,sc3,0.41,1,0.78
15:30,2020,1,sc3,0.22,1,0.3
16:00,2020,1,sc3,0.03,1,0.63
16:30,2020,1,sc3,0.68,1,0.26
17:00,2020,1,sc3,0.84,1,0.21
17:30,2020,1,sc3,0.52,1,0.08
6:00,2020,1,sc5,0.01,1,0.0
6:30,2020,1,sc5,0.0,1,0.0
7:00,2020,1,sc5,0.0,1,0.0
7:30,2020,1,sc5,0.02,1,0.0
8:00,2020,1,sc5,0.0,1,0.0
8:30,2020,1,sc5,0.0,1,0.0
9:00,2020,1,sc5,0.0,1,0.0
9:30,2020,1,sc5,0.0,1,0.0
10:00,2020,1,sc5,0.0,1,0.0
10:30,2020,1,sc5,0.0,1,0.0
11:00,2020,1,sc5,0.0,1,0.0
11:30,2020,1,sc5,0.0,1,0.0
12:00,2020,1,sc5,0.0,1,0.0
12:30,2020,1,sc5,0.0,1,0.0
13:00,2020,1,sc5,0.0,1,0.0
13:30,2020,1,sc5,0.0,1,0.0
14:00,2020,1,sc5,0.0,1,0.0
14:30,2020,1,sc5,0.01,1,0.0
15:00,2020,1,sc5,0.0,1,0.0
15:30,2020,1,sc5,0.0,1,0.0
16:00,2020,1,sc5,0.0,1,0.0
16:30,2020,1,sc5,0.0,1,0.0
17:00,2020,1,sc5,0.0,1,0.0
17:30,2020,1,sc5,0.0,1,0.0
6:00,2020,2,sc3,0.95,1,0.74
6:30,2020,2,sc3,0.6,1,0.73
7:00,2020,2,sc3,0.17,1,0.78
7:30,2020,2,sc3,0.08,1,0.54
8:00,2020,2,sc3,0.21,1,0.58
8:30,2020,2,sc3,0.54,1,0.71
9:00,2020,2,sc3,0.84,1,0.61
9:30,2020,2,sc3,0.68,1,0.08
10:00,2020,2,sc3,0.81,1,0.59
10:30,2020,2,sc3,0.96,1,0.48
11:00,2020,2,sc3,0.28,1,0.48
11:30,2020,2,sc3,0.41,1,0.76
12:00,2020,2,sc3,0.73,1,0.32
12:30,2020,2,sc3,0.59,1,0.18
13:00,2020,2,sc3,0.13,1,0.67
13:30,2020,2,sc3,0.22,1,0.08
14:00,2020,2,sc3,0.54,1,0.78
14:30,2020,2,sc3,0.09,1,0.11
15:00,2020,2,sc3,0.34,1,0.78
15:30,2020,2,sc3,0.82,1,0.16
16:00,2020,2,sc3,0.6,1,0.78
16:30,2020,2,sc3,0.62,1,0.68
17:00,2020,2,sc3,0.38,1,0.08
17:30,2020,2,sc3,0.79,1,0.77
6:00,2020,2,sc5,0.13,1,0.45
6:30,2020,2,sc5,0.0,1,0.05
7:00,2020,2,sc5,0.0,1,0.0
7:30,2020,2,sc5,0.0,1,0.0
8:00,2020,2,sc5,0.0,1,0.0
8:30,2020,2,sc5,0.0,1,0.0
9:00,2020,2,sc5,0.0,1,0.0
9:30,2020,2,sc5,0.0,1,0.0
10:00,2020,2,sc5,0.0,1,0.0
10:30,2020,2,sc5,0.0,1,0.0
11:00,2020,2,sc5,0.0,1,0.0
11:30,2020,2,sc5,0.0,1,0.0
12:00,2020,2,sc5,0.0,1,0.0
12:30,2020,2,sc5,0.0,1,0.0
13:00,2020,2,sc5,0.0,1,0.0
13:30,2020,2,sc5,0.01,1,0.0
14:00,2020,2,sc5,0.0,1,0.0
14:30,2020,2,sc5,0.0,1,0.0
15:00,2020,2,sc5,0.0,1,0.0
15:30,2020,2,sc5,0.0,1,0.0
16:00,2020,2,sc5,0.0,1,0.0
16:30,2020,2,sc5,0.0,1,0.0
17:00,2020,2,sc5,0.0,1,0.0
17:30,2020,2,sc5,0.01,1,0.0
6:00,2020,3,sc2,0.48,1,0.2
6:30,2020,3,sc2,0.47,1,0.31
7:00,2020,3,sc2,0.03,1,0.19
7:30,2020,3,sc2,0.21,1,0.35
8:00,2020,3,sc2,0.28,1,0.01
8:30,2020,3,sc2,0.12,1,0.07
9:00,2020,3,sc2,0.94,1,0.6
9:30,2020,3,sc2,0.06,1,0.21
10:00,2020,3,sc2,0.09,1,0.04
10:30,2020,3,sc2,0.42,1,0.22
11:00,2020,3,sc2,0.58,1,0.01
11:30,2020,3,sc2,0.31,1,0.15
12:00,2020,3,sc2,0.77,1,0.05
12:30,2020,3,sc2,0.76,1,0.06
13:00,2020,3,sc2,0.38,1,0.42
13:30,2020,3,sc2,0.82,1,0.27
14:00,2020,3,sc2,0.31,1,0.27
14:30,2020,3,sc2,0.38,1,0.74
15:00,2020,3,sc2,0.31,1,0.04
15:30,2020,3,sc2,0.34,1,0.3
16:00,2020,3,sc2,0.02,1,0.23
16:30,2020,3,sc2,0.37,1,0.22
17:00,2020,3,sc2,0.23,1,0.29
17:30,2020,3,sc2,0.13,1,0.28
6:00,2020,3,sc5,0.02,1,0.0
6:30,2020,3,sc5,0.05,1,0.0
7:00,2020,3,sc5,0.0,1,0.0
7:30,2020,3,sc5,0.0,1,0.0
8:00,2020,3,sc5,0.0,1,0.0
8:30,2020,3,sc5,0.0,1,0.0
9:00,2020,3,sc5,0.0,1,0.04
9:30,2020,3,sc5,0.0,1,0.0
10:00,2020,3,sc5,0.01,1,0.0
10:30,2020,3,sc5,0.0,1,0.0
11:00,2020,3,sc5,0.0,1,0.0
11:30,2020,3,sc5,0.0,1,0.0
12:00,2020,3,sc5,0.0,1,0.0
12:30,2020,3,sc5,0.0,1,0.0
13:00,2020,3,sc5,0.0,1,0.0
13:30,2020,3,sc5,0.26,1,0.0
14:00,2020,3,sc5,0.04,1,0.0
14:30,2020,3,sc5,0.15,1,0.0
15:00,2020,3,sc5,0.14,1,0.0
15:30,2020,3,sc5,0.06,1,0.0
16:00,2020,3,sc5,0.03,1,0.0
16:30,2020,3,sc5,0.67,1,0.85
17:00,2020,3,sc5,0.28,1,0.0
17:30,2020,3,sc5,0.06,1,0.72
6:00,2020,4,sc5,1.0,0,0.0
6:30,2020,4,sc5,0.21,1,0.83
7:00,2020,4,sc5,0.05,1,0.0
7:30,2020,4,sc5,0.01,1,0.0
8:00,2020,4,sc5,0.01,1,0.28
8:30,2020,4,sc5,0.0,1,0.0
9:00,2020,4,sc5,0.01,1,0.0
9:30,2020,4,sc5,0.01,1,0.0
10:00,2020,4,sc5,0.08,1,0.4
10:30,2020,4,sc5,0.0,1,0.0
11:00,2020,4,sc5,0.05,1,0.0
11:30,2020,4,sc5,0.01,1,0.0
12:00,2020,4,sc5,0.0,1,0.0
12:30,2020,4,sc5,0.01,1,0.0
13:00,2020,4,sc5,0.0,1,0.0
13:30,2020,4,sc5,0.0,1,0.0
14:00,2020,4,sc5,0.0,1,0.06
14:30,2020,4,sc5,0.0,1,0.0
15:00,2020,4,sc5,0.0,1,0.0
15:30,2020,4,sc5,0.0,1,0.0
16:00,2020,4,sc5,0.05,1,0.0
16:30,2020,4,sc5,0.97,1,0.0
17:00,2020,4,sc5,0.09,1,0.0
17:30,2020,4,sc5,0.0,1,0.0
6:00,2020,5,sc3,1.0,0,0.0
6:30,2020,5,sc3,1.0,0,0.0
7:00,2020,5,sc3,0.96,1,0.31
7:30,2020,5,sc3,0.49,1,0.32
8:00,2020,5,sc3,0.65,1,0.13
8:30,2020,5,sc3,0.07,1,0.47
9:00,2020,5,sc3,0.18,1,0.19
9:30,2020,5,sc3,0.48,1,0.29
10:00,2020,5,sc3,0.0,1,0.23
10:30,2020,5,sc3,0.33,1,0.04
11:00,2020,5,sc3,0.85,1,0.12
11:30,2020,5,sc3,0.14,1,0.26
12:00,2020,5,sc3,0.37,1,0.01
12:30,2020,5,sc3,0.78,1,0.0
13:00,2020,5,sc3,0.75,1,0.34
13:30,2020,5,sc3,0.88,1,0.16
14:00,2020,5,sc3,0.56,1,0.01
14:30,2020,5,sc3,0.54,1,0.29
15:00,2020,5,sc3,0.93,1,0.99
15:30,2020,5,sc3,0.37,1,0.2
16:00,2020,5,sc3,0.91,1,0.23
16:30,2020,5,sc3,0.09,1,0.62
17:00,2020,5,sc3,1.0,0,0.0
17:30,2020,5,sc3,1.0,0,0.0
6:00,2020,5,sc4,1.0,0,0.0
6:30,2020,5,sc4,0.0,1,0.01
7:00,2020,5,sc4,0.29,1,0.54
7:30,2020,5,sc4,0.07,1,0.59
8:00,2020,5,sc4,0.21,1,0.35
8:30,2020,5,sc4,0.25,1,0.37
9:00,2020,5,sc4,0.62,1,0.13
9:30,2020,5,sc4,0.26,1,0.53
10:00,2020,5,sc4,0.37,1,0.61
10:30,2020,5,sc4,0.3,1,0.02
11:00,2020,5,sc4,0.87,1,0.13
11:30,2020,5,sc4,0.55,1,0.22
12:00,2020,5,sc4,0.92,1,0.13
12:30,2020,5,sc4,0.84,1,0.29
13:00,2020,5,sc4,0.15,1,0.36
13:30,2020,5,sc4,0.62,1,0.13
14:00,2020,5,sc4,0.45,1,0.01
14:30,2020,5,sc4,0.9,1,0.08
15:00,2020,5,sc4,0.65,1,0.24
15:30,2020,5,sc4,0.42,1,0.47
16:00,2020,5,sc4,0.03,1,0.32
16:30,2020,5,sc4,0.09,1,0.33
17:00,2020,5,sc4,1.0,0,0.0
17:30,2020,5,sc4,1.0,0,0.0
6:00,2020,5,sc5,1.0,0,0.0
6:30,2020,5,sc5,1.0,0,0.0
7:00,2020,5,sc5,0.55,1,0.65
7:30,2020,5,sc5,0.98,1,0.0
8:00,2020,5,sc5,0.07,1,0.0
8:30,2020,5,sc5,0.07,1,0.66
9:00,2020,5,sc5,0.0,1,0.0
9:30,2020,5,sc5,0.03,1,0.0
10:00,2020,5,sc5,0.0,1,0.0
10:30,2020,5,sc5,0.01,1,0.0
11:00,2020,5,sc5,0.02,1,0.0
11:30,2020,5,sc5,0.0,1,0.0
12:00,2020,5,sc5,0.01,1,0.0
12:30,2020,5,sc5,0.0,1,0.02
13:00,2020,5,sc5,0.0,1,0.0
13:30,2020,5,sc5,0.0,1,0.18
14:00,2020,5,sc5,0.0,1,0.0
14:30,2020,5,sc5,0.06,1,0.0
15:00,2020,5,sc5,0.03,1,0.0
15:30,2020,5,sc5,0.03,1,0.0
