,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2020,1,sc2,0.17,1,0.86
7:00,2020,1,sc2,0.2,1,0.0
8:00,2020,1,sc2,0.1,1,0.99
9:00,2020,1,sc2,0.07,1,0.0
10:00,2020,1,sc2,0.02,1,0.01
11:00,2020,1,sc2,0.11,1,0.0
12:00,2020,1,sc2,0.71,1,0.0
13:00,2020,1,sc2,0.81,1,0.0
14:00,2020,1,sc2,0.23,1,0.0
15:00,2020,1,sc2,0.21,1,0.94
16:00,2020,1,sc2,0.19,1,0.0
17:00,2020,1,sc2,0.06,1,0.02
6:00,2020,1,sc3,0.13,1,0.09
7:00,2020,1,sc3,0.51,1,0.0
8:00,2020,1,sc3,0.48,1,0.05
9:00,2020,1,sc3,0.96,1,0.02
10:00,2020,1,sc3,0.26,1,0.25
11:00,2020,1,sc3,0.99,1,0.07
12:00,2020,1,sc3,0.63,1,0.0
13:00,2020,1,sc3,0.18,1,0.2
14:00,2020,1,sc3,0.78,1,0.18
15:00,2020,1,sc3,0.33,1,0.08
16:00,2020,1,sc3,0.31,1,0.47
17:00,2020,1,sc3,0.34,1,0.18
6:00,2020,1,sc5,0.19,1,0.88
7:00,2020,1,sc5,0.62,1,0.02
8:00,2020,1,sc5,0.97,1,0.0
9:00,2020,1,sc5,0.55,1,0.0
10:00,2020,1,sc5,0.17,1,0.0
11:00,2020,1,sc5,0.21,1,0.0
12:00,2020,1,sc5,0.07,1,0.0
13:00,2020,1,sc5,0.02,1,0.0
14:00,2020,1,sc5,0.43,1,0.01
15:00,2020,1,sc5,0.22,1,0.01
16:00,2020,1,sc5,0.02,1,0.03
17:00,2020,1,sc5,0.07,1,0.05
6:00,2020,2,sc2,0.2,1,0.74
7:00,2020,2,sc2,0.03,1,0.01
8:00,2020,2,sc2,0.32,1,0.0
9:00,2020,2,sc2,0.4,1,0.0
10:00,2020,2,sc2,0.67,1,0.0
11:00,2020,2,sc2,0.21,1,0.0
12:00,2020,2,sc2,0.96,1,1.0
13:00,2020,2,sc2,0.58,1,0.84
14:00,2020,2,sc2,0.44,1,0.0
15:00,2020,2,sc2,0.47,1,0.0
16:00,2020,2,sc2,0.71,1,1.0
17:00,2020,2,sc2,0.35,1,0.0
6:00,2020,2,sc3,1.0,1,0.33
7:00,2020,2,sc3,0.34,1,0.58
8:00,2020,2,sc3,0.59,1,0.26
9:00,2020,2,sc3,0.91,1,0.52
10:00,2020,2,sc3,0.56,1,0.62
11:00,2020,2,sc3,0.62,1,0.06
12:00,2020,2,sc3,0.18,1,0.01
13:00,2020,2,sc3,0.99,1,0.45
14:00,2020,2,sc3,0.09,1,0.38
15:00,2020,2,sc3,0.64,1,0.5
16:00,2020,2,sc3,0.18,1,0.84
17:00,2020,2,sc3,0.71,1,0.94
6:00,2020,2,sc5,0.02,1,0.98
7:00,2020,2,sc5,0.43,1,0.0
8:00,2020,2,sc5,0.37,1,0.0
9:00,2020,2,sc5,0.75,1,0.03
10:00,2020,2,sc5,0.08,1,0.0
11:00,2020,2,sc5,0.02,1,0.01
12:00,2020,2,sc5,0.13,1,0.0
13:00,2020,2,sc5,0.68,1,0.0
14:00,2020,2,sc5,0.35,1,0.0
15:00,2020,2,sc5,0.31,1,0.0
16:00,2020,2,sc5,0.01,1,0.02
17:00,2020,2,sc5,0.3,1,0.02
6:00,2020,3,sc2,0.43,1,0.67
7:00,2020,3,sc2,0.29,1,0.0
8:00,2020,3,sc2,0.01,1,0.0
9:00,2020,3,sc2,0.01,1,0.0
10:00,2020,3,sc2,0.3,1,0.0
11:00,2020,3,sc2,0.67,1,0.85
12:00,2020,3,sc2,0.21,1,0.95
13:00,2020,3,sc2,0.02,1,0.9
14:00,2020,3,sc2,0.03,1,0.0
15:00,2020,3,sc2,0.62,1,0.0
16:00,2020,3,sc2,0.58,1,0.0
17:00,2020,3,sc2,0.01,1,0.83
6:00,2020,3,sc3,0.6,1,0.05
7:00,2020,3,sc3,0.31,1,0.0
8:00,2020,3,sc3,0.95,1,0.0
9:00,2020,3,sc3,0.57,1,0.0
10:00,2020,3,sc3,0.85,1,0.0
11:00,2020,3,sc3,0.89,1,0.0
12:00,2020,3,sc3,0.75,1,0.0
13:00,2020,3,sc3,0.27,1,0.01
14:00,2020,3,sc3,0.0,1,0.76
15:00,2020,3,sc3,0.52,1,0.08
