year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2021,1,sc2,0.48,0,0.28
2021,1,sc3,0.66,0,0.2
2021,1,sc5,0.5,0,0.16
2021,2,sc1,0.53,0,0.48
2021,2,sc2,0.37,0,0.18
2021,2,sc3,0.5,0,0.16
2021,2,sc5,0.5,0,0.05
2021,3,sc1,0.39,0,0.51
2021,3,sc2,0.32,0,0.24
2021,3,sc3,0.35,0,0.38
2021,3,sc5,0.24,0,0.06
2021,4,sc3,0.51,1,0.18
2021,4,sc5,0.02,1,0.04
2021,5,sc2,0.42,1,0.27
2021,5,sc3,0.46,1,0.38
2021,5,sc4,0.53,1,0.39
2021,5,sc5,0.02,1,0.01
2021,6,sc2,0.37,1,0.46
2021,6,sc5,0.0,1,0.0
2021,7,sc5,0.0,1,0.01
2021,8,sc2,0.45,1,0.27
2021,8,sc3,0.41,1,0.44
2021,8,sc5,0.01,1,0.02
2021,9,sc2,0.37,1,0.38
2021,9,sc3,0.54,0,0.25
2021,9,sc5,0.09,1,0.09
2021,10,sc2,0.39,0,0.23
2021,10,sc3,0.55,0,0.2
2021,10,sc5,0.33,0,0.21
2021,11,sc2,0.46,0,0.05
2021,11,sc3,0.68,0,0.19
2021,11,sc5,0.58,0,0.08
2021,12,sc2,0.67,0,0.32
2021,12,sc3,0.48,0,0.22
2021,12,sc5,0.44,0,0.15
