,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2019,1,sc5,1.0,0,0.0
6:15,2019,1,sc5,1.0,0,0.0
6:30,2019,1,sc5,1.0,0,0.0
6:45,2019,1,sc5,1.0,0,0.0
7:00,2019,1,sc5,1.0,0,0.0
7:15,2019,1,sc5,1.0,0,0.0
7:30,2019,1,sc5,1.0,0,0.0
7:45,2019,1,sc5,0.0,1,0.0
8:00,2019,1,sc5,0.0,1,0.04
8:15,2019,1,sc5,0.0,1,0.01
8:30,2019,1,sc5,0.0,1,0.0
8:45,2019,1,sc5,0.0,1,0.0
9:00,2019,1,sc5,0.0,1,0.0
9:15,2019,1,sc5,0.0,1,0.0
9:30,2019,1,sc5,0.0,1,0.0
9:45,2019,1,sc5,0.0,1,0.0
10:00,2019,1,sc5,0.0,1,0.02
10:15,2019,1,sc5,0.0,1,0.0
10:30,2019,1,sc5,0.0,1,0.0
10:45,2019,1,sc5,0.0,1,0.0
11:00,2019,1,sc5,0.0,1,0.0
11:15,2019,1,sc5,0.0,1,0.0
11:30,2019,1,sc5,0.0,1,0.0
11:45,2019,1,sc5,0.0,1,0.01
12:00,2019,1,sc5,0.0,1,0.0
12:15,2019,1,sc5,0.0,1,0.0
12:30,2019,1,sc5,0.0,1,0.0
12:45,2019,1,sc5,0.0,1,0.0
13:00,2019,1,sc5,0.0,1,0.0
13:15,2019,1,sc5,0.0,1,0.0
13:30,2019,1,sc5,0.0,1,0.0
13:45,2019,1,sc5,0.0,1,0.0
14:00,2019,1,sc5,0.0,1,0.0
14:15,2019,1,sc5,0.0,1,0.0
14:30,2019,1,sc5,0.0,1,0.01
14:45,2019,1,sc5,0.0,1,0.0
15:00,2019,1,sc5,0.0,1,0.0
15:15,2019,1,sc5,0.0,1,0.0
15:30,2019,1,sc5,0.0,1,0.0
15:45,2019,1,sc5,0.03,1,0.0
16:00,2019,1,sc5,0.02,1,0.23
16:15,2019,1,sc5,0.18,1,0.0
16:30,2019,1,sc5,0.68,1,0.95
16:45,2019,1,sc5,0.71,1,0.99
17:00,2019,1,sc5,0.08,1,0.96
17:15,2019,1,sc5,0.0,1,0.0
17:30,2019,1,sc5,0.0,1,0.0
17:45,2019,1,sc5,1.0,0,0.0
6:00,2019,2,sc5,1.0,0,0.0
6:15,2019,2,sc5,1.0,0,0.0
6:30,2019,2,sc5,1.0,0,0.0
6:45,2019,2,sc5,1.0,0,0.0
7:00,2019,2,sc5,1.0,0,0.0
7:15,2019,2,sc5,0.0,1,0.0
7:30,2019,2,sc5,0.01,1,0.0
7:45,2019,2,sc5,0.18,1,0.0
8:00,2019,2,sc5,0.32,1,0.0
8:15,2019,2,sc5,0.09,1,0.0
8:30,2019,2,sc5,0.0,1,0.0
8:45,2019,2,sc5,0.0,1,0.0
9:00,2019,2,sc5,0.0,1,0.0
9:15,2019,2,sc5,0.01,1,0.0
9:30,2019,2,sc5,0.04,1,0.0
9:45,2019,2,sc5,0.0,1,0.0
10:00,2019,2,sc5,0.0,1,0.0
10:15,2019,2,sc5,0.0,1,0.0
10:30,2019,2,sc5,0.01,1,0.03
10:45,2019,2,sc5,0.01,1,0.0
11:00,2019,2,sc5,0.02,1,0.0
11:15,2019,2,sc5,0.07,1,0.0
11:30,2019,2,sc5,0.03,1,0.0
11:45,2019,2,sc5,0.01,1,0.0
12:00,2019,2,sc5,0.01,1,0.0
12:15,2019,2,sc5,0.03,1,0.0
12:30,2019,2,sc5,0.02,1,0.0
12:45,2019,2,sc5,0.0,1,0.0
13:00,2019,2,sc5,0.01,1,0.0
13:15,2019,2,sc5,0.0,1,0.0
13:30,2019,2,sc5,0.0,1,0.0
13:45,2019,2,sc5,0.01,1,0.0
14:00,2019,2,sc5,0.0,1,0.0
14:15,2019,2,sc5,0.03,1,0.0
14:30,2019,2,sc5,0.15,1,0.0
14:45,2019,2,sc5,0.02,1,0.0
15:00,2019,2,sc5,0.02,1,0.0
15:15,2019,2,sc5,0.01,1,0.0
15:30,2019,2,sc5,0.02,1,0.0
15:45,2019,2,sc5,0.07,1,0.34
16:00,2019,2,sc5,0.06,1,0.0
16:15,2019,2,sc5,0.06,1,0.0
16:30,2019,2,sc5,0.64,1,0.0
16:45,2019,2,sc5,0.9,1,0.0
17:00,2019,2,sc5,0.89,1,0.0
17:15,2019,2,sc5,0.84,1,0.89
17:30,2019,2,sc5,0.36,1,0.96
17:45,2019,2,sc5,0.04,1,0.0
6:00,2019,3,sc5,1.0,0,0.0
6:15,2019,3,sc5,1.0,0,0.0
6:30,2019,3,sc5,0.0,1,0.0
6:45,2019,3,sc5,0.0,1,0.0
7:00,2019,3,sc5,0.27,1,0.0
7:15,2019,3,sc5,0.61,1,0.0
7:30,2019,3,sc5,0.08,1,0.0
7:45,2019,3,sc5,0.03,1,0.0
8:00,2019,3,sc5,0.01,1,0.0
8:15,2019,3,sc5,0.0,1,0.0
8:30,2019,3,sc5,0.0,1,0.0
8:45,2019,3,sc5,0.0,1,0.0
9:00,2019,3,sc5,0.0,1,0.0
9:15,2019,3,sc5,0.0,1,0.0
9:30,2019,3,sc5,0.0,1,0.0
9:45,2019,3,sc5,0.0,1,0.0
10:00,2019,3,sc5,0.0,1,0.0
10:15,2019,3,sc5,0.0,1,0.0
10:30,2019,3,sc5,0.0,1,0.0
10:45,2019,3,sc5,0.0,1,0.0
11:00,2019,3,sc5,0.0,1,0.0
11:15,2019,3,sc5,0.0,1,0.05
11:30,2019,3,sc5,0.0,1,0.0
11:45,2019,3,sc5,0.0,1,0.0
12:00,2019,3,sc5,0.0,1,0.0
12:15,2019,3,sc5,0.0,1,0.0
12:30,2019,3,sc5,0.0,1,0.0
12:45,2019,3,sc5,0.0,1,0.0
13:00,2019,3,sc5,0.0,1,0.0
13:15,2019,3,sc5,0.0,1,0.0
13:30,2019,3,sc5,0.0,1,0.0
13:45,2019,3,sc5,0.0,1,0.0
14:00,2019,3,sc5,0.0,1,0.0
14:15,2019,3,sc5,0.0,1,0.0
14:30,2019,3,sc5,0.0,1,0.0
14:45,2019,3,sc5,0.0,1,0.0
15:00,2019,3,sc5,0.0,1,0.0
15:15,2019,3,sc5,0.0,1,0.0
15:30,2019,3,sc5,0.0,1,0.0
15:45,2019,3,sc5,0.0,1,0.0
16:00,2019,3,sc5,0.0,1,0.0
16:15,2019,3,sc5,0.0,1,0.0
16:30,2019,3,sc5,0.0,1,0.5
16:45,2019,3,sc5,0.01,1,0.0
17:00,2019,3,sc5,0.0,1,0.0
17:15,2019,3,sc5,0.0,1,0.0
17:30,2019,3,sc5,0.37,1,0.0
17:45,2019,3,sc5,0.74,1,0.0
6:00,2019,4,sc1,-0.0,1,0.08
6:15,2019,4,sc1,0.64,1,0.78
6:30,2019,4,sc1,1.0,1,0.54
6:45,2019,4,sc1,0.46,1,0.42
7:00,2019,4,sc1,-0.0,1,0.34
7:15,2019,4,sc1,0.54,1,0.43
7:30,2019,4,sc1,0.88,1,0.34
7:45,2019,4,sc1,1.0,1,0.36
8:00,2019,4,sc1,0.48,1,0.63
8:15,2019,4,sc1,-0.0,1,0.09
8:30,2019,4,sc1,0.84,1,0.7
8:45,2019,4,sc1,0.18,1,0.29
9:00,2019,4,sc1,0.71,1,0.53
9:15,2019,4,sc1,0.68,1,0.44
9:30,2019,4,sc1,0.82,1,0.76
9:45,2019,4,sc1,0.61,1,0.21
10:00,2019,4,sc1,0.03,1,0.59
10:15,2019,4,sc1,0.72,1,0.78
10:30,2019,4,sc1,0.21,1,0.48
10:45,2019,4,sc1,0.19,1,0.36
11:00,2019,4,sc1,0.35,1,0.76
11:15,2019,4,sc1,0.02,1,0.78
11:30,2019,4,sc1,0.77,1,0.08
11:45,2019,4,sc1,0.65,1,0.34
12:00,2019,4,sc1,0.66,1,0.08
12:15,2019,4,sc1,0.95,1,0.47
12:30,2019,4,sc1,0.09,1,0.78
12:45,2019,4,sc1,0.29,1,0.78
13:00,2019,4,sc1,0.06,1,0.14
13:15,2019,4,sc1,0.12,1,0.08
13:30,2019,4,sc1,0.39,1,0.39
13:45,2019,4,sc1,0.64,1,0.24
14:00,2019,4,sc1,0.02,1,0.12
14:15,2019,4,sc1,0.0,1,0.78
14:30,2019,4,sc1,0.18,1,0.61
14:45,2019,4,sc1,0.02,1,0.11
15:00,2019,4,sc1,0.01,1,0.65
15:15,2019,4,sc1,0.9,1,0.6
15:30,2019,4,sc1,0.88,1,0.78
15:45,2019,4,sc1,0.26,1,0.68
16:00,2019,4,sc1,0.25,1,0.09
16:15,2019,4,sc1,0.25,1,0.64
16:30,2019,4,sc1,0.06,1,0.17
16:45,2019,4,sc1,0.01,1,0.7
17:00,2019,4,sc1,0.23,1,0.45
17:15,2019,4,sc1,0.24,1,0.75
17:30,2019,4,sc1,0.37,1,0.47
17:45,2019,4,sc1,0.25,1,0.27
6:00,2019,4,sc2,-0.0,1,0.72
6:15,2019,4,sc2,-0.0,1,0.39
6:30,2019,4,sc2,-0.0,1,0.08
6:45,2019,4,sc2,0.03,1,0.78
7:00,2019,4,sc2,0.02,1,0.78
7:15,2019,4,sc2,0.01,1,0.13
7:30,2019,4,sc2,0.34,1,0.63
7:45,2019,4,sc2,0.12,1,0.5
8:00,2019,4,sc2,0.96,1,0.32
8:15,2019,4,sc2,0.76,1,0.61
8:30,2019,4,sc2,0.23,1,0.3
8:45,2019,4,sc2,0.66,1,0.73
9:00,2019,4,sc2,0.11,1,0.53
9:15,2019,4,sc2,0.68,1,0.34
9:30,2019,4,sc2,0.06,1,0.45
9:45,2019,4,sc2,0.74,1,0.59
10:00,2019,4,sc2,0.67,1,0.96
10:15,2019,4,sc2,0.4,1,0.68
10:30,2019,4,sc2,0.32,1,0.47
10:45,2019,4,sc2,0.25,1,0.7
11:00,2019,4,sc2,0.79,1,0.11
11:15,2019,4,sc2,0.11,1,0.25
11:30,2019,4,sc2,0.54,1,0.56
11:45,2019,4,sc2,0.23,1,0.77
12:00,2019,4,sc2,0.22,1,0.26
12:15,2019,4,sc2,0.41,1,0.51
12:30,2019,4,sc2,0.58,1,0.78
12:45,2019,4,sc2,0.03,1,0.58
13:00,2019,4,sc2,0.98,1,0.66
13:15,2019,4,sc2,0.57,1,0.78
