year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
2019,1,sc5,0.2,0,0.09
2019,2,sc5,0.23,0,0.04
2019,3,sc5,0.07,0,0.02
2019,4,sc1,0.39,1,0.44
2019,4,sc2,0.3,1,0.4
2019,4,sc3,0.46,1,0.42
2019,4,sc5,0.03,1,0.0
2019,5,sc5,0.0,1,0.0
2019,6,sc5,0.0,1,0.0
2019,7,sc3,0.41,1,0.52
2019,7,sc5,0.02,1,0.0
2019,8,sc5,0.07,1,0.05
2019,9,sc2,0.5,0,0.48
2019,9,sc5,0.11,0,0.04
2019,10,sc5,0.14,0,0.01
2019,11,sc1,0.3,0,0.23
2019,11,sc5,0.22,0,0.13
2019,12,sc1,0.36,0,0.27
2019,12,sc3,0.41,0,0.24
2019,12,sc5,0.18,0,0.05
