,year,month,sc,shapiro_wilk,anderson_darling,lognormal_test
6:00,2021,1,sc5,1.0,0,0.0
7:00,2021,1,sc5,1.0,0,0.0
8:00,2021,1,sc5,0.02,1,0.0
9:00,2021,1,sc5,0.01,1,0.0
10:00,2021,1,sc5,0.0,1,0.02
11:00,2021,1,sc5,0.0,1,0.0
12:00,2021,1,sc5,0.0,1,0.0
13:00,2021,1,sc5,0.0,1,0.0
14:00,2021,1,sc5,0.0,1,0.0
15:00,2021,1,sc5,0.0,1,0.0
16:00,2021,1,sc5,0.0,1,0.0
17:00,2021,1,sc5,0.41,1,0.84
6:00,2021,2,sc5,1.0,0,0.0
7:00,2021,2,sc5,0.0,1,0.0
8:00,2021,2,sc5,0.08,1,0.45
9:00,2021,2,sc5,0.01,1,0.27
10:00,2021,2,sc5,0.01,1,0.0
11:00,2021,2,sc5,0.0,1,0.0
12:00,2021,2,sc5,0.0,1,0.0
13:00,2021,2,sc5,0.0,1,0.0
14:00,2021,2,sc5,0.0,1,0.0
15:00,2021,2,sc5,0.0,1,0.24
16:00,2021,2,sc5,0.0,1,0.0
17:00,2021,2,sc5,0.03,1,0.8
6:00,2021,3,sc5,1.0,0,0.0
7:00,2021,3,sc5,0.02,1,0.6
8:00,2021,3,sc5,0.02,1,0.0
9:00,2021,3,sc5,0.0,1,0.0
10:00,2021,3,sc5,0.66,1,0.0
11:00,2021,3,sc5,0.0,1,0.0
12:00,2021,3,sc5,0.0,1,0.0
13:00,2021,3,sc5,0.28,1,0.0
14:00,2021,3,sc5,0.01,1,0.0
15:00,2021,3,sc5,0.0,1,0.0
16:00,2021,3,sc5,0.0,1,0.0
17:00,2021,3,sc5,0.0,1,0.0
6:00,2021,4,sc5,0.0,1,0.0
7:00,2021,4,sc5,0.26,1,0.0
8:00,2021,4,sc5,0.02,1,0.0
9:00,2021,4,sc5,0.0,1,0.0
10:00,2021,4,sc5,0.0,1,0.0
11:00,2021,4,sc5,0.0,1,0.0
12:00,2021,4,sc5,0.0,1,0.0
13:00,2021,4,sc5,0.0,1,0.0
14:00,2021,4,sc5,0.0,1,0.0
15:00,2021,4,sc5,0.0,1,0.0
16:00,2021,4,sc5,0.0,1,0.0
17:00,2021,4,sc5,0.0,1,0.0
6:00,2021,5,sc5,0.23,1,0.0
7:00,2021,5,sc5,0.0,1,0.0
8:00,2021,5,sc5,0.0,1,0.0
9:00,2021,5,sc5,0.0,1,0.0
10:00,2021,5,sc5,0.0,1,0.0
11:00,2021,5,sc5,0.0,1,0.0
12:00,2021,5,sc5,0.0,1,0.0
13:00,2021,5,sc5,0.01,1,0.0
14:00,2021,5,sc5,0.05,1,0.02
15:00,2021,5,sc5,0.0,1,0.0
16:00,2021,5,sc5,0.0,1,0.0
17:00,2021,5,sc5,0.0,1,0.0
6:00,2021,6,sc5,0.02,1,0.0
7:00,2021,6,sc5,0.0,1,0.0
8:00,2021,6,sc5,0.19,1,0.82
9:00,2021,6,sc5,0.3,1,0.64
10:00,2021,6,sc5,0.0,1,0.0
11:00,2021,6,sc5,0.0,1,0.0
12:00,2021,6,sc5,0.0,1,0.0
13:00,2021,6,sc5,0.0,1,0.0
14:00,2021,6,sc5,0.0,1,0.0
15:00,2021,6,sc5,0.0,1,0.0
16:00,2021,6,sc5,0.0,1,0.0
17:00,2021,6,sc5,0.0,1,0.0
6:00,2021,7,sc3,0.16,1,0.6
7:00,2021,7,sc3,0.82,1,0.27
8:00,2021,7,sc3,0.02,1,0.67
9:00,2021,7,sc3,0.55,1,0.24
10:00,2021,7,sc3,0.14,1,0.45
11:00,2021,7,sc3,0.31,1,0.34
12:00,2021,7,sc3,0.65,1,0.08
13:00,2021,7,sc3,0.51,1,0.09
14:00,2021,7,sc3,0.04,1,0.68
